docId,date,count
ACC_45614,2020-11-21,2
ACC_45614,2020-11-22,1
ACC_45614,2020-11-23,1
ACC_45614,2020-11-24,3
ACC_45614,2020-11-25,7
ACC_45614,2020-11-26,2
ACC_45614,2020-11-27,2
ACC_45614,2020-11-29,1
ACC_45614,2020-12-01,5
ACC_45614,2020-12-03,4
ACC_45614,2020-12-05,1
ACC_45614,2020-12-06,4
ACC_45614,2020-12-07,2
ACC_45614,2020-12-08,2
ACC_45614,2020-12-09,3
ACC_45614,2020-12-10,4
ACC_45614,2020-12-11,6
ACC_45614,2020-12-12,5
ACC_45614,2020-12-13,2
ACC_45614,2020-12-14,5
ACC_45614,2020-12-15,2
ACC_45614,2020-12-16,1
ACC_45614,2020-12-17,1
ACC_45614,2020-12-18,5
ACC_45614,2020-12-19,3
ACC_45614,2020-12-20,4
ACC_45614,2020-12-22,5
ACC_45614,2020-12-24,5
ACC_45614,2020-12-25,2
ACC_45614,2020-12-26,1
ACC_45615,2020-01-01,7
ACC_45615,2020-01-02,2
ACC_45615,2020-01-03,2
ACC_45615,2020-01-04,4
ACC_45615,2020-01-06,5
ACC_45615,2020-01-07,1
ACC_45615,2020-01-08,4
ACC_45615,2020-01-09,6
ACC_45615,2020-01-10,1
ACC_45615,2020-01-11,2
ACC_45615,2020-01-12,3
ACC_45615,2020-01-13,2
ACC_45615,2020-01-14,1
ACC_45615,2020-01-15,2
ACC_45615,2020-01-16,2
ACC_45615,2020-01-17,3
ACC_45615,2020-01-19,3
ACC_45615,2020-01-20,4
ACC_45615,2020-01-21,1
ACC_45615,2020-01-22,4
ACC_45615,2020-01-23,4
ACC_45615,2020-01-24,4
ACC_45615,2020-01-25,3
ACC_45615,2020-01-26,4
ACC_45615,2020-01-27,6
ACC_45615,2020-01-28,3
ACC_45615,2020-01-29,3
ACC_45615,2020-01-30,2
ACC_45615,2020-01-31,1
ACC_45615,2020-02-01,4
ACC_45615,2020-02-02,1
ACC_45615,2020-02-03,1
ACC_45615,2020-02-04,7
ACC_45615,2020-02-05,1
ACC_45615,2020-02-06,2
ACC_45615,2020-02-07,1
ACC_45615,2020-02-08,3
ACC_45615,2020-02-09,1
ACC_45615,2020-02-10,3
ACC_45615,2020-02-11,5
ACC_45615,2020-02-12,8
ACC_45615,2020-02-14,3
ACC_45615,2020-02-15,4
ACC_45615,2020-02-16,2
ACC_45615,2020-02-17,6
ACC_45615,2020-02-18,3
ACC_45615,2020-02-20,4
ACC_45615,2020-02-21,4
ACC_45615,2020-02-22,5
ACC_45615,2020-02-23,1
ACC_45615,2020-02-24,2
ACC_45615,2020-02-25,3
ACC_45615,2020-02-26,2
ACC_45615,2020-02-27,3
ACC_45615,2020-02-28,1
ACC_45615,2020-02-29,1
ACC_45615,2020-03-01,5
ACC_45615,2020-03-02,7
ACC_45615,2020-03-03,6
ACC_45615,2020-03-05,14
ACC_45615,2020-03-06,2
ACC_45615,2020-03-07,8
ACC_45615,2020-03-08,1
ACC_45615,2020-03-09,1
ACC_45615,2020-03-11,3
ACC_45615,2020-03-13,4
ACC_45615,2020-03-14,3
ACC_45615,2020-03-15,1
ACC_45615,2020-03-16,3
ACC_45615,2020-03-17,5
ACC_45615,2020-03-18,4
ACC_45615,2020-03-19,1
ACC_45615,2020-03-20,6
ACC_45615,2020-03-21,3
ACC_45615,2020-03-23,1
ACC_45615,2020-03-24,4
ACC_45615,2020-03-25,4
ACC_45615,2020-03-26,1
ACC_45615,2020-03-27,1
ACC_45615,2020-03-28,3
ACC_45615,2020-03-29,1
ACC_45615,2020-03-30,1
ACC_45615,2020-03-31,4
ACC_45615,2020-04-01,2
ACC_45615,2020-04-02,3
ACC_45615,2020-04-03,7
ACC_45615,2020-04-04,2
ACC_45615,2020-04-05,3
ACC_45615,2020-04-07,3
ACC_45615,2020-04-08,5
ACC_45615,2020-04-09,8
ACC_45615,2020-04-10,1
ACC_45615,2020-04-11,3
ACC_45615,2020-04-12,2
ACC_45615,2020-04-13,6
ACC_45615,2020-04-14,1
ACC_45615,2020-04-15,3
ACC_45615,2020-04-16,1
ACC_45615,2020-04-17,3
ACC_45615,2020-04-18,4
ACC_45615,2020-04-20,7
ACC_45615,2020-04-21,13
ACC_45615,2020-04-22,5
ACC_45615,2020-04-23,4
ACC_45615,2020-04-24,1
ACC_45615,2020-04-25,6
ACC_45615,2020-04-26,7
ACC_45615,2020-04-27,9
ACC_45615,2020-04-28,3
ACC_45615,2020-04-29,5
ACC_45615,2020-04-30,6
ACC_45615,2020-05-01,4
ACC_45615,2020-05-02,7
ACC_45615,2020-05-03,3
ACC_45615,2020-05-04,2
ACC_45615,2020-05-05,2
ACC_45615,2020-05-06,4
ACC_45615,2020-05-07,4
ACC_45615,2020-05-08,5
ACC_45615,2020-05-10,4
ACC_45615,2020-05-11,1
ACC_45615,2020-05-12,1
ACC_45615,2020-05-13,3
ACC_45615,2020-05-14,2
ACC_45615,2020-05-15,1
ACC_45615,2020-05-16,6
ACC_45615,2020-05-18,4
ACC_45615,2020-05-19,4
ACC_45615,2020-05-20,3
ACC_45615,2020-05-21,4
ACC_45615,2020-05-22,2
ACC_45615,2020-05-23,2
ACC_45615,2020-05-24,8
ACC_45615,2020-05-25,3
ACC_45615,2020-05-26,6
ACC_45615,2020-05-27,4
ACC_45615,2020-05-29,1
ACC_45615,2020-05-30,1
ACC_45615,2020-05-31,3
ACC_45615,2020-06-01,3
ACC_45615,2020-06-02,1
ACC_45615,2020-06-03,9
ACC_45615,2020-06-05,4
ACC_45615,2020-06-06,2
ACC_45615,2020-06-07,4
ACC_45615,2020-06-08,2
ACC_45615,2020-06-09,1
ACC_45615,2020-06-10,4
ACC_45615,2020-06-11,4
ACC_45615,2020-06-12,1
ACC_45615,2020-06-13,1
ACC_45615,2020-06-14,2
ACC_45615,2020-06-15,5
ACC_45615,2020-06-16,2
ACC_45615,2020-06-17,2
ACC_45615,2020-06-18,1
ACC_45615,2020-06-19,4
ACC_45615,2020-06-20,3
ACC_45615,2020-06-21,4
ACC_45615,2020-06-22,3
ACC_45615,2020-06-23,2
ACC_45615,2020-06-25,6
ACC_45615,2020-06-26,2
ACC_45615,2020-06-27,5
ACC_45615,2020-06-28,7
ACC_45615,2020-06-29,1
ACC_45615,2020-06-30,1
ACC_45615,2020-07-01,4
ACC_45615,2020-07-02,6
ACC_45615,2020-07-03,3
ACC_45615,2020-07-04,2
ACC_45615,2020-07-05,1
ACC_45615,2020-07-06,8
ACC_45615,2020-07-08,8
ACC_45615,2020-07-09,3
ACC_45615,2020-07-10,1
ACC_45615,2020-07-11,1
ACC_45615,2020-07-12,5
ACC_45615,2020-07-13,5
ACC_45615,2020-07-14,4
ACC_45615,2020-07-15,4
ACC_45615,2020-07-17,4
ACC_45615,2020-07-18,3
ACC_45615,2020-07-19,3
ACC_45615,2020-07-20,10
ACC_45615,2020-07-21,2
ACC_45615,2020-07-22,3
ACC_45615,2020-07-23,3
ACC_45615,2020-07-24,2
ACC_45615,2020-07-25,2
ACC_45615,2020-07-26,6
ACC_45615,2020-07-27,1
ACC_45615,2020-07-28,1
ACC_45615,2020-07-29,3
ACC_45615,2020-07-30,4
ACC_45615,2020-07-31,1
ACC_45615,2020-08-01,4
ACC_45615,2020-08-02,2
ACC_45615,2020-08-03,1
ACC_45615,2020-08-04,3
ACC_45615,2020-08-05,1
ACC_45615,2020-08-07,4
ACC_45615,2020-08-08,2
ACC_45615,2020-08-09,6
ACC_45615,2020-08-10,7
ACC_45615,2020-08-11,5
ACC_45615,2020-08-13,4
ACC_45615,2020-08-14,3
ACC_45615,2020-08-15,4
ACC_45615,2020-08-16,6
ACC_45615,2020-08-19,1
ACC_45615,2020-08-20,1
ACC_45615,2020-08-21,5
ACC_45615,2020-08-22,6
ACC_45615,2020-08-23,2
ACC_45615,2020-08-24,5
ACC_45615,2020-08-25,4
ACC_45615,2020-08-26,4
